,TASK NAME,START DATE,END DATE,START DATE,END DATE,START ON DAY*,DURATION* (WORK DAYS),PERCENT COMPLETE
,,,,,,,,
Phase 1: Research and Planning,,,,,,,,
,Complete Timeline,10/7,10/11,10/7,10/11,0,4,100%
,Website Development,10/7,11/7,10/7,11/7,0,31,40%
,Research Reinforcement Learning,11/1,12/23,11/1,12/23,25,52,0%
,Choose and Research Economic Policies,11/1,12/23,11/1,12/23,25,52,0%
,Create Test Reinforcement Learning Programs,12/1,1/5,12/1,1/5,55,35,0%
Phase 2: Design of Program,,,,,,,,
,Write out Program Design Doc,1/5,1/22,1/5,1/22,90,17,0%
,Draw Mock up of Program Visuals,1/18,1/24,1/18,1/24,103,6,0%
,Write out Pseudocode,1/18,2/14,1/18,2/14,103,27,0%
Phase 3: Programming and Testing,,,,,,,,
,Code Model and Environment Variables,2/1,3/1,2/1,3/1,117,28,0%
,Create Unskilled Worker Bot,3/1,3/16,3/1,3/16,145,15,0%
,Create Skilled Worker Bot,3/16,4/1,3/16,4/1,160,16,0%
,Test out Various Environmental Variables,4/1,4/15,4/1,4/15,176,14,0%
,Create Policy Setter Class,4/16,5/1,4/16,5/1,191,15,0%
,,,,,,,,
* = an automatically calculated cell,,,,,,,,